0001	Potion
043E	Item 1086
043F	Shamos Shard
0440	Item 1088
0441	Girros Shard
0442	Item 1090
0443	Wulg Thickfur
0444	Item 1092
0445	Great Jagras Shard
0446	Great Jagras Thickhide
0447	Great Jagras Hardclaw
0448	Great Jagras Mane+
0449	Kulu-Ya-Ku Shard
044A	Kulu-Ya-Ku Thickhide
044B	Large Kulu-Ya-Ku Plume
044C	Large Kulu-Ya-Ku Beak
044D	Pukei-Pukei Shard
044E	Pukei-Pukei Cortex
044F	Pukei-Pukei Fellwing
0450	Large Pukei-Pukei Sac
0451	Pukei-Pukei Lash
0452	Coral Pukei-Pukei Shard
0453	Coral Pukei-Pukei Cortex
0454	Coral Pukei-Pukei Fellwing
0455	Large Coral Pukei-Pukei Sac
0456	Coral Pukei-Pukei Lash
0457	Barroth Cortex
0458	Barroth Chine
0459	Barroth Hardclaw
045A	Barroth Crown
045B	Barroth Lash
045C	Rich Mud
045D	Jyuratodus Shard
045E	Jyuratodus Cortex
045F	Jyuratodus Hardfang
0460	Jyuratodus Grandfin
0461	Beotodus Shard
0462	Beotodus Cortex
0463	Beotodus Hardhorn
0464	Beotodus Grandfin
0465	Tobi-Kadachi Shard
0466	Tobi-Kadachi Thickfur
0467	Tobi-Kadachi Membrane+
0468	Tobi-Kadachi Hardclaw
0469	Tobi-Kadachi Cathode
046A	Viper Tobi-Kadachi Shard
046B	Viper Tobi-Kadachi Thickfur
046C	Viper Tobi-Kadachi Membrane+
046D	Viper Tobi-Kadachi Hardclaw
046E	Viper Tobi-Kadachi Thorn
046F	Banbaro Cortex
0470	Banbaro Chine
0471	Banbaro Great Horn
0472	Banbaro Lash
0473	Anjanath Shard
0474	Anjanath Fur
0475	Anjanath Hardfang
0476	Heavy Anjanath Nosebone
0477	Anjanath Lash
0478	Anjanath Mantle
0479	Fulgur Anjanath Shard
047A	Fulgur Anjanath Thickfur
047B	Fulgur Anjanath Hardfang
047C	Heavy Fulgur Anjanath Nosebone
047D	Fulgur Anjanath Lash
047E	Fulgur Anjanath Mantle
047F	Rathian Shard
0480	Rathian Cortex
0481	Rathian Weave
0482	Rathian Surspike
0483	Rathian Mantle
0484	Pink Rathian Shard
0485	Pink Rathian Cortex
0486	Gold Rathian Shard
0487	Gold Rathian Cortex
0488	Gold Rathian Surspike
0489	Tzitzi-Ya-Ku Shard
048A	Tzitzi-Ya-Ku Thickhide
048B	Tzitzi-Ya-Ku Hardclaw
048C	Tzitzi-Ya-Ku Photomembrane
048D	Paolumu Thickfur
048E	Paolumu Shard
048F	Paolumu Cortex
0490	Paolumu Fellwing
0491	Nightshade Paolumu Thickfur
0492	Nightshade Paolumu Shard
0493	Nightshade Paolumu Fellwing
0494	Great Girros Shard
0495	Great Girros Thickhide
0496	Great Girros Hardhood
0497	Great Girros Hardfang
0498	Great Girros Lash
0499	Radobaan Shard
049A	Radobaan Cortex
049B	Radobaan Oilshell+
049C	Large Wyvern Bonemass
049D	Legiana Shard
049E	Legiana Thickhide
049F	Legiana Hardclaw
04A0	Legiana Fellwing
04A1	Legiana Tail Webbing+
04A2	Legiana Mantle
04A3	Item 1187
04A4	Rimed Hide
04A5	Obsidian Icetalon
04A6	Stark Wing
04A7	Item 1191
04A8	Item 1192
04A9	Odogaron Shard
04AA	Hard Odogaron Sinew
04AB	Odogaron Hardclaw
04AC	Odogaron Hardfang
04AD	Odogaron Lash
04AE	Odogaron Mantle
04AF	Ebony Odogaron Shard
04B0	Hard Ebony Odogaron Sinew
04B1	Ebony Odogaron Hardclaw
04B2	Ebony Odogaron Hardfang
04B3	Ebony Odogaron Lash
04B4	Ebony Odogaron Mantle
04B5	Rathalos Shard
04B6	Rathalos Cortex
04B7	Rathalos Fellwing
04B8	Rathalos Lash
04B9	Rath Wingtalon+
04BA	Rathalos Mantle
04BB	Azure Rathalos Shard
04BC	Azure Rathalos Cortex
04BD	Azure Rathalos Lash
04BE	Azure Rathalos Fellwing
04BF	Silver Rathalos Shard
04C0	Silver Rathalos Cortex
04C1	Silver Rathalos Fellwing
04C2	Silver Rathalos Lash
04C3	Rath Gleam
04C4	Diablos Cortex
04C5	Diablos Chine
04C6	Diablos Tailcase+
04C7	Twisted Stouthorn
04C8	Diablos Hardhorn
04C9	Black Diablos Cortex
04CA	Black Diablos Chine
04CB	Blackcurl Stouthorn
04CC	Dodogama Shard
04CD	Dodogama Thickhide
04CE	Dodogama Mandible
04CF	Dodogama Hardclaw
04D0	Dodogama Lash
04D1	Lavasioth Shard
04D2	Lavasioth Cortex
04D3	Lavasioth Hardfang
04D4	Lavasioth Grandfin
04D5	Uragaan Shard
04D6	Uragaan Cortex
04D7	Uragaan Jaw+
04D8	Uragaan Scute+
04D9	Uragaan Pallium
04DA	Barioth Cortex
04DB	Barioth Thickfur
04DC	Barioth Hardclaw
04DD	Barioth Greatspike
04DE	Barioth Lash
04DF	Amber Hardfang
04E0	Nargacuga Shard
04E1	Nargacuga Blackfur+
04E2	Nargacuga Lash
04E3	Nargacuga Tailspear
04E4	Nargacuga Cutwing+
04E5	Nargacuga Hardfang
04E6	Nargacuga Mantle
04E7	Tigrex Shard
04E8	Tigrex Cortex
04E9	Tigrex Lash
04EA	Tigrex Hardclaw
04EB	Tigrex Hardfang
04EC	Tigrex Mantle
04ED	Brute Tigrex Shard
04EE	Brute Tigrex Cortex
04EF	Brute Tigrex Hardclaw
04F0	Brute Tigrex Hardfang
04F1	Glavenus Shard
04F2	Glavenus Cortex
04F3	Glavenus Hardfang
04F4	Glavenus Hellshell
04F5	Glavenus Tailedge
04F6	Molten Bursa
04F7	Glavenus Mantle
04F8	Acidic Glavenus Shard
04F9	Acidic Glavenus Cortex
04FA	Acidic Glavenus Hardfang
04FB	Acidic Glavenus Spineshell
04FC	Acidic Glavenus Tailedge
04FD	Honed Acidcryst
04FE	Item 1278
04FF	Brachydios Cortex
0500	Fine Brachydios Ebonshell
0501	Brachydios Crown
0502	Glowing Slime
0503	Brachydios Pounder+
0504	Brachydios Lash
0505	Brachydios Pallium
0506	Item 1286
0507	Item 1287
0508	Item 1288
0509	Item 1289
050A	Garuga Shard
050B	Garuga Cortex
050C	Garuga Auricle
050D	Fancy Beak
050E	Garuga Fellwing
050F	Garuga Lash
0510	Garuga Silverpelt
0511	Zinogre Cortex
0512	Zinogre Electrofur+
0513	Zinogre Hardhorn
0514	Zinogre Hardclaw
0515	Zinogre Lash
0516	Zinogre Deathly Shocker
0517	Fulgurbug
0518	Zinogre Skymerald
0519	Item 1305
051A	Item 1306
051B	Item 1307
051C	Item 1308
051D	Item 1309
051E	Item 1310
051F	Item 1311
0520	Item 1312
0521	Bazelgeuse Shard
0522	Flickering Silvershell
0523	Bazelgeuse Flail
0524	Distilled Blast Fluid
0525	Bazelgeuse Hardclaw
0526	Scorching Silverwing
0527	Bazelgeuse Mantle
0528	Deviljho Shard
0529	Deviljho Blackpiel
052A	Item 1322
052B	Vile Fang
052C	Deviljho Ripper
052D	Deviljho Flail
052E	Black Blood
052F	Deviljho Crook
0530	Rajang Wildpelt
0531	Rajang Hardfang
0532	Rajang Hardclaw
0533	Rajang Tail
0534	Gold Rajang Pelt+
0535	Item 1333
0536	Rajang Hardhorn
0537	Item 1335
0538	Item 1336
0539	Kirin Finehide
053A	Kirin Thundertail+
053B	Kirin Silvermane
053C	Kirin Azure Horn+
053D	Immortal Shard
053E	Nergigante Cortex
053F	Nergigante Flail
0540	Annihilating Greathorn
0541	Nergigante Hardclaw
0542	Eternal Regrowth Plate
0543	Crystal Shard
0544	Velkhana Cortex
0545	Velkhana Fellwing
0546	Velkhana Crownhorn
0547	Velkhana Lash
0548	Velkhana Hardclaw
0549	Velkhana Crystal
054A	Teostra Cortex
054B	Teostra Mane+
054C	Teostra Lash
054D	Teostra Hardhorn
054E	Hellfire Shard
054F	Fire Dragon Hardclaw
0550	Teostra Fellwing
0551	Lunastra Cortex
0552	Lunastra Mane+
0553	Lunastra Lash
0554	Lunastra Hardhorn
0555	Lunastra Shard
0556	Lunastra Fellwing
0557	Daora Cortex
0558	Daora Shard
0559	Daora Fellwing
055A	Daora Hardhorn
055B	Daora Lash
055C	Daora Hardclaw
055D	Deceased Shard
055E	Vaal Hazak Cortex
055F	Deathweaver Membrane
0560	Vaal Hazak Flail
0561	Shadowpierce Fang
0562	Vaal Hazak Hardclaw
0563	Vaal Hazak Fellwing
0564	Namielle Finehide
0565	Item 1381
0566	Namielle Fellwing
0567	Namielle Whisker
0568	Namielle Lash
0569	Namielle Hardclaw
056A	Item 1386
056B	Item 1387
056C	Item 1388
056D	Item 1389
056E	Item 1390
056F	Item 1391
0570	Item 1392
0571	Item 1393
0572	Item 1394
0573	Shara Ishvalda Tenderscale
0574	Shara Ishvalda Boulderplate
0575	Item 1397
0576	Shara Ishvalda Tenderplate
0577	Shara Ishvalda Petalstone
0578	Shara Ishvalda Tenderclaw
0579	Shara Ishvalda Gem
057A	Item 1402
057B	Item 1403
057C	Item 1404
057D	Item 1405
057E	Item 1406
057F	Item 1407
0580	Item 1408
0581	Ancient Feystone
0582	Carved Feystone
0583	Sealed Feystone
0584	Decayed Scale
0585	Luminous Scale
0586	Old Dragon Treasure
0587	Item 1415
0588	Item 1416
0589	??? Shard
058A	??? Boulderplate
058B	??? Cortex
058C	??? Rock
058D	??? Hardclaw
058E	Large ??? Gem
058F	Item 1423
0590	Item 1424
0591	Item 1425
0592	Item 1426
0593	Item 1427
0594	Item 1428
0595	Item 1429
0596	Item 1430
0597	Celestial Wyverian Print
0598	Conqueror's Seal
0599	Research Commission Ticket+
059A	Banbaro Coin
059B	Paolumu Coin
059C	Nargacuga Coin
059D	Glavenus Coin
059E	Odogaron Coin
059F	Zinogre Coin
05A0	Black Belt Coin
05A1	Hero King Coin
05A2	Tigrex Coin
05A3	Giant Scale
05A4	Magnificent Scale
05A5	Boaboa Ticket
05A6	Young Butterbur
05A7	Exquisite Butterbur
05A8	Millennium Butterbur
05A9	Icebloom
05AA	Moonlight Icebloom
05AB	Snowpeak Icebloom
05AC	Snow White
05AD	Petalcryst
05AE	EZ Dust of Life
05AF	Pearlspring Macaque
05B0	Goldspring Macaque
05B1	Item 1457
05B2	Crowned Prawn
05B3	Moon Slug
05B4	Duffel Penguin
05B5	Arrowhead Gekko
05B6	Blue Diva
05B7	Sealord's Crestfish
05B8	Glass Parexus
05B9	Wintermoon Nettle
05BA	Moly
05BB	Mossy Moly
05BC	Rocky Moly
05BD	Fluffy Moly
05BE	Spiny Moly
05BF	Item 1471
05C0	Item 1472
05C1	Great Glass Parexus
05C2	Item 1474
05C3	Item 1475
05C4	Item 1476
05C5	Item 1477
05C6	Dragonvein Shard
05C7	Dragonvein Coal
05C8	Dragonvein Coal Chunk
05C9	Cloth Curtain (Small)
05CA	Pelt Curtain (Small)
05CB	Elegant Curtain (Small)
05CC	Item 1484
05CD	Cloth Curtain (Large)
05CE	Pelt Curtain (Large)
05CF	Elegant Curtain (Large)
05D0	Item 1488
05D1	Familiar Sofa
05D2	Item 1490
05D3	Luxury Sofa
05D4	Elegant Sofa
05D5	Item 1493
05D6	Rustic Bed
05D7	Familiar Bed
05D8	Luxury Bed
05D9	Item 1497
05DA	Familiar Table
05DB	Luxury Table
05DC	Elegant Table
05DD	Item 1501
05DE	Rustic Chairs
05DF	Familiar Chairs
05E0	Luxury Chairs
05E1	Elegant Chairs
05E2	Item 1506
05E3	Carnivore Carnival
05E4	Party Platter
05E5	Tropical Lunch
05E6	Sumptuous Stew
05E7	Hunter's Brunch
05E8	Familiar Chest
05E9	Luxury Chest
05EA	Item 1514
05EB	Hoarfrost Reach Plant 1
05EC	Hoarfrost Reach Plant 2
05ED	Item 1517
05EE	Hoarfrost Reach Plant 3
05EF	Ancient Forest Plant 1
05F0	Item 1520
05F1	Ancient Forest Plant 4
05F2	Ancient Forest Plant 5
05F3	Ancient Forest Plant 3
05F4	Wildspire Wastes Plant 2
05F5	Item 1525
05F6	Wildspire Wastes Plant 1
05F7	Ancient Forest Plant 2
05F8	Item 1528
05F9	Item 1529
05FA	Simple Urn
05FB	Grimalkyne Doll
05FC	Gajalaka Doll
05FD	Boaboa Doll
05FE	Felyne Doll
05FF	Grimalkyne Doll (Black)
0600	Grimalkyne Doll (Navy)
0601	Grimalkyne Doll (Blue)
0602	Poogie Doll (Memorial Stripes)
0603	Poogie Doll (Emperor's Duds)
0604	Item 1540
0605	Item 1541
0606	Item 1542
0607	Item 1543
0608	Item 1544
0609	Simple Urn Set
060A	Burlap Sacks
060B	Bottled Spirit
060C	Assorted Bottle Set
060D	Crafting Tools
060E	Dyed Silk Rolls
060F	Ornamental Horn
0610	Display Fossil
0611	Simple Pottery
0612	Pottery Set
0613	Item 1555
0614	Ornamental Plate (Large)
0615	Basket of Ore
0616	Item 1558
0617	First Aid Kit
0618	Item 1560
0619	Potted Plant
061A	Research Tomes
061B	Scholarly Tomes
061C	Refined Vase (Large)
061D	Potted Cactus
061E	Colorful Planting
061F	Basket of Mushrooms
0620	Item 1568
0621	Vegetable Display
0622	Fierce Gajalaka Mask
0623	Grimacing Gajalaka Mask
0624	Surprised Gajalaka Mask
0625	Amber
0626	Item 1574
0627	Item 1575
0628	Seashell
0629	Symbol of Assistance
062A	Symbol of Contribution
062B	Symbol of Dedication
062C	Symbol of Valor
062D	Goldenfry Mobile
062E	Whetfish Mobile
062F	Marlin Mobile
0630	Item 1584
0631	Item 1585
0632	Item 1586
0633	Barrel Ornament
0634	Catch-of-the-Day Ornament
0635	Fish Ornament
0636	Marlin Ornament
0637	Elegant Flag
0638	Nargacuga Painting
0639	Research Base Painting
063A	Handler Portrait
063B	Elegant Ornamental Plate
063C	Gajalaka Painting 1
063D	Boaboa Painting 1
063E	Grimalkyne Painting 1
063F	Poogie Painting
0640	Palico Portraits
0641	Item 1601
0642	Item 1602
0643	Item 1603
0644	Item 1604
0645	Familiar Desk
0646	Luxury Desk
0647	Item 1607
0648	Familiar Shelves
0649	Intellectual Shelves
064A	Cluttered Shelves
064B	Luxury Shelves
064C	Elegant Shelves
064D	Cute Shelves
064E	Music Player
064F	Familiar Lights
0650	Sturdy Lights
0651	Luxury Lights
0652	Cute Lights
0653	Simple Lights
0654	Item 1620
0655	Item 1621
0656	Item 1622
0657	Familiar Rack
0658	Luxury Rack
0659	Item 1625
065A	Simple Wall Shelf (Large)
065B	Luxury Wall Shelf (Large)
065C	Cute Wall Shelf (Large)
065D	Simple Wall Shelf (Small)
065E	Luxury Wall Shelf (Small)
065F	Item 1631
0660	Item 1632
0661	Item 1633
0662	Zorah Magdaros Painting
0663	Cloth Wall-Hanging
0664	Fur Wall-Hanging
0665	Ship's Wheel Wall-Hanging
0666	Item 1638
0667	Gajalaka Painting 2
0668	Boaboa Painting 2
0669	Grimalkyne Painting 2
066A	Ancient Forest Painting
066B	Wildspire Wastes Painting
066C	Coral Highlands Painting
066D	Rotten Vale Painting
066E	Elder's Recess Painting
066F	Hoarfrost Reach Painting
0670	Books and Documents
0671	Healthy Refreshments
0672	Stuffed Doll Crafting Set
0673	Maps
0674	Crafting Set
0675	Baking Set
0676	Tool Set
0677	Familiar Rugs (1F)
0678	Luxury Rugs (1F)
0679	Cute Rugs (1F)
067A	Fur Rugs (1F)
067B	Familiar Rugs (2F)
067C	Luxury Rugs (2F)
067D	Cute Rugs (2F)
067E	Fur Rugs (2F)
067F	Lantern
0680	Item 1664
0681	Item 1665
0682	Candle
0683	Candlestick
0684	Songbird Lamp
0685	Jellyfish Lamp
0686	Angler Fish Lamp
0687	Item 1671
0688	Item 1672
0689	Item 1673
068A	Botanical Pattern
068B	Elegant Pattern
068C	Patchwork
068D	Patchwork (Brown)
068E	Patchwork (Gray)
068F	Check (Red)
0690	Check (White)
0691	Check (Blue)
0692	Trap and Beast (Brown)
0693	Trap and Beast (Navy)
0694	Trap and Beast (Aqua)
0695	Trap and Beast (Yellow)
0696	Wild Nature (Vibrant)
0697	Wild Nature (Red)
0698	Wild Nature (Green)
0699	Nature Check (Green)
069A	Nature Check (Blue)
069B	Traditional Pattern (Black)
069C	Traditional Pattern (Vibrant)
069D	Traditional Pattern (Brown)
069E	Traditional Pattern (Pink)
069F	Traditional Pattern (Aqua)
06A0	Traditional Pattern (Warm)
06A1	Traditional Pattern (Red)
06A2	Hunter Pattern (Brown)
06A3	Hunter Pattern (White)
06A4	Hunter Pattern (Gold)
06A5	Hunter Pattern (Red)
06A6	Item 1702
06A7	Item 1703
06A8	Item 1704
06A9	Check (Vibrant)
06AA	Item 1706
06AB	Palico Print (Pink)
06AC	Palico Print (Brown)
06AD	Item 1709
06AE	Item 1710
06AF	Item 1711
06B0	Item 1712
06B1	Item 1713
06B2	Item 1714
06B3	Item 1715
06B4	Item 1716
06B5	Item 1717
06B6	Item 1718
06B7	Item 1719
06B8	Item 1720
06B9	Light Wood
06BA	Dark Wood
06BB	Light Iron
06BC	Dark Iron
06BD	Silver
06BE	Item 1726
06BF	Stone
06C0	Home Sweet Home
06C1	Traditional Room
06C2	Item 1730
06C3	Item 1731
06C4	Item 1732
06C5	Item 1733
06C6	Wooden Floor
06C7	Chic Wooden Floor
06C8	Simple Stone Floor
06C9	Item 1737
06CA	Item 1738
06CB	Marble Tile Floor
06CC	Item 1740
06CD	Item 1741
06CE	Item 1742
06CF	Chic Stone Floor
06D0	Wooden Wall
06D1	Chic Wooden Wall
06D2	Simple Stone Wall
06D3	Item 1747
06D4	Item 1748
06D5	Simple Stucco Wall
06D6	Item 1750
06D7	Item 1751
06D8	Item 1752
06D9	Item 1753
06DA	Elegant Stucco Wall
06DB	Wooden Floor (White)
06DC	Wooden Floor (Green)
06DD	Wooden Floor (Blue)
06DE	Wooden Floor (Red)
06DF	Wooden Floor (Yellow)
06E0	Light Wooden Floor
06E1	Wooden Wall (White)
06E2	Wooden Wall (Green)
06E3	Wooden Wall (Blue)
06E4	Wooden Wall (Red)
06E5	Wooden Wall (Yellow)
06E6	Stucco Wall (Orange)
06E7	Stucco Wall (Green)
06E8	Stucco Wall (Red)
06E9	Stucco Wall (Blue)
06EA	Traditional Bench
06EB	Traditional Bed
06EC	Traditional Table
06ED	Traditional Meal
06EE	Traditional Chest
06EF	Traditional Rugs (1F)
06F0	Traditional Rugs (2F)
06F1	Traditional Wall
06F2	Traditional Floor
06F3	Traditional Lights
06F4	Item 1780
06F5	Dragonrazer Fuel Cell
06F6	Tailraider Signal
06F7	Item 1783
06F8	Bugtrappers: Fried Dragonfly
06F9	Protectors: Dried Goldenfish
06FA	Troupers: Horned Urchin
06FB	Plunderers: Steamed Cricket
06FC	Grimalkyne: Pot-au-magma
06FD	Boaboa: Boaboa Bread
06FE	Thermae Ticket
06FF	Scratched Shell
0700	Stonebill
0701	Rime Beetle
0702	Hot Spring Stone
0703	Decayed Crystal
0704	Forest Crystal
0705	Prosperous Crystal
0706	Guiding Forest Crystal
0707	Cracked Crystal
0708	Wasteland Crystal
0709	Serene Crystal
070A	Guiding Wasteland Crystal
070B	Pale Crystal
070C	Coral Crystal
070D	Deepsea Crystal
070E	Guiding Coral Crystal
070F	Distorted Crystal
0710	Effluvial Crystal
0711	Twilight Crystal
0712	Guiding Effluvial Crystal
0713	Melted Crystal
0714	Magma Crystal
0715	Hellfire Crystal
0716	Guiding Magma Crystal
0717	Frozen Crystal DNI
0718	Rime Crystal DNI
0719	Daybreak Crystal DNI
071A	Guiding Rime Crystal DNI
071B	Mossy Greatbone
071C	Woodland Greatbone
071D	Slumbering Greatbone
071E	Guiding Forest Dragonbone
071F	Weathered Cragbone
0720	Wasteland Cragbone
0721	Tempered Cragbone
0722	Guiding Wasteland Dragonbone
0723	Vivid Crimsonbone
0724	Coral Crimsonbone
0725	Vibrant Crimsonbone
0726	Guiding Coral Dragonbone
0727	Malformed Frenzybone
0728	Effluvial Frenzybone
0729	Afflicted Frenzybone
072A	Guiding Rotted Dragonbone
072B	Simmering Wildbone
072C	Volcanic Wildbone
072D	Dragonscorched Wildbone
072E	Guiding Volcanic Dragonbone
072F	Hoary Icebone DNI
0730	Tundra Icebone DNI
0731	Evefrost Icebone DNI
0732	Guiding Tundra Dragonbone DNI
0733	Fierce Dragonvein Bone
0734	Heavy Dragonvein Bone
0735	Dragonvein Solidbone
0736	Elder Dragonvein Bone
0737	Item 1847
0738	Spiritvein Slogbone
0739	Spiritvein Solidbone
073A	Elder Spiritvein Bone
073B	Spiritvein Gem Shard
073C	Spiritvein Gem
073D	Great Spiritvein Gem
073E	Rugged Mane
073F	Item 1855
0740	Colorful Plume
0741	Item 1857
0742	Fragrant Poison Sac
0743	Tempered Poison Sac
0744	Hydrated Sac
0745	Tempered Torrent Sac
0746	Muddy Crown
0747	Tempered Crown
0748	Item 1864
0749	Item 1865
074A	Item 1866
074B	Item 1867
074C	Blinding Cathode
074D	Tempered Cathode
074E	Item 1870
074F	Item 1871
0750	Ancient Great Horn
0751	Tempered Great Horn
0752	Flickering Flamepelt
0753	Tempered Flamepelt
0754	Crackling Thunderpelt
0755	Tempered Thunderpelt
0756	Queen's Scale
0757	Tempered Green Scale
0758	Pink Scale
0759	Tempered Pink Scale
075A	Dazzling Photophore+
075B	Item 1883
075C	Rubbery Shell
075D	Tempered Rubbery Shell
075E	Obsidian Fur
075F	Tempered Hide
0760	Night Hood
0761	Item 1889
0762	Inkstained Oilshell+
0763	Tempered Oilshell+
0764	Heavy Jaw
0765	Item 1893
0766	Incandescent Magmafin
0767	Tempered Magmafin
0768	Metallic Scute
0769	Tempered Scute
076A	Item 1898
076B	Item 1899
076C	Sinister Silverpelt
076D	Tempered Silverpelt
076E	Smooth Icehide
076F	Tempered Icehide
0770	Item 1904
0771	Item 1905
0772	Fatal Rendclaw
0773	Tempered Rendclaw
0774	Soulrender Talon
0775	Tempered Talon
0776	King's Scale
0777	Tempered Red Scale
0778	Azure Scale
0779	Tempered Azure Scale
077A	Twisted Bravehorn
077B	Twisted Temperhorn
077C	Blackcurl Tyranthorn
077D	Blackcurl Temperhorn
077E	Assassin Cutwing
077F	Tempered Cutwing
0780	Smoldering Tailedge
0781	Tempered Tailedge
0782	Honed Tailblade
0783	Tempered Tailblade
0784	Glossy Ebonshell
0785	Tempered Ebonshell
0786	Strongman's Jaw
0787	Tempered Jaw
0788	Shuddering Darkjaw
0789	Tempered Ebonjaw
078A	Charged Deathly Shocker
078B	Tempered Shocker
078C	Crimson Blastscale
078D	Tempered Blastscale
078E	Bloodstained Ebonhide
078F	Spattered Hide
0790	Solemn Azure Horn
0791	Tempered Azure Horn
0792	Hellfire Mane
0793	Tempered Crimson Mane
0794	Stormcall Steelwing
0795	Tempered Steelwing
0796	Azure Mane
0797	Tempered Azure Mane
0798	Aurora Crownhorn
0799	Tempered Crownhorn
079A	Twilight Fang
079B	Tempered Twilight Fang
079C	Enchanting Finehide
079D	Tempered Trancehide
079E	Extinction Greathorn
079F	Item 1951
07A0	Moonlight Scale
07A1	Tempered Gold Scale
07A2	Scorching Scale
07A3	Tempered Silver Scale
07A4	Item 1956
07A5	Item 1957
07A6	Bloodthirsty Glimmerpelt
07A7	Tempered Glimmerpelt
07A8	Item 1960
07A9	Item 1961
07AA	Item 1962
07AB	Item 1963
07AC	Special Scope
07AD	Sublime First Wyverian Print
07AE	Steam Ticket
07AF	Giant Dragonvein Coal
07B0	Phoenix Jewel 3
07B1	Guardian Jewel 2
07B2	Cooling Jewel 2
07B3	Fire Res Jewel+ 4
07B4	Water Res Jewel+ 4
07B5	Ice Res Jewel+ 4
07B6	Thunder Res Jewel+ 4
07B7	Dragon Res Jewel+ 4
07B8	Blaze Jewel+ 4
07B9	Stream Jewel+ 4
07BA	Frost Jewel+ 4
07BB	Bolt Jewel+ 4
07BC	Dragon Jewel+ 4
07BD	Venom Jewel+ 4
07BE	Paralyzer Jewel+ 4
07BF	Sleep Jewel+ 4
07C0	Blast Jewel+ 4
07C1	Hard Fire Res Jewel 4
07C2	Hard Water Res Jewel 4
07C3	Hard Ice Res Jewel 4
07C4	Hard Thunder Res Jewel 4
07C5	Hard Dragon Res Jewel 4
07C6	Antidote Jewel+ 4
07C7	Antipara Jewel+ 4
07C8	Pep Jewel+ 4
07C9	Steadfast Jewel+ 4
07CA	Antiblast Jewel+ 4
07CB	Suture Jewel+ 4
07CC	Def Lock Jewel+ 4
07CD	Miasma Jewel+ 4
07CE	Hungerless Jewel+ 4
07CF	Recovery Jewel+ 4
07D0	Tip Toe Jewel+ 4
07D1	Intimidator Jewel+ 4
07D2	Meowster Jewel+ 4
07D3	Hard Tip Toe Jewel 4
07D4	Hard Intimidator Jewel 4
07D5	Hard Meowster Jewel 4
07D6	Trueshot Jewel+ 4
07D7	Heavy Artillery Jewel+ 4
07D8	Botany Jewel+ 4
07D9	Geology Jewel+ 4
07DA	Survival Jewel+ 4
07DB	Mirewalker Jewel+ 4
07DC	Specimen Jewel+ 4
07DD	Sonorous Jewel+ 4
07DE	Hard Botany Jewel+ 4
07DF	Hard Geology Jewel 4
07E0	Hard Survival Jewel 4
07E1	Hard Specimen Jewel 4
07E2	Enduring Jewel+ 4
07E3	Defense Jewel+ 4
07E4	Hard Enduring Jewel 4
07E5	Hard Defense Jewel 4
07E6	Artillery Jewel+ 4
07E7	Earplug Jewel+ 4
07E8	Wind Resist Jewel+ 4
07E9	Attack Jewel+ 4
07EA	Expert Jewel+ 4
07EB	Handicraft Jewel+ 4
07EC	Throttle Jewel+ 4
07ED	Challenger Jewel+ 4
07EE	Potential Jewel+ 4
07EF	Furor Jewel+ 4
07F0	Physique Jewel+ 4
07F1	Evasion Jewel+ 4
07F2	Ironwall Jewel+ 4
07F3	Friendship Jewel+ 4
07F4	Drain/Physique Jewel 4
07F5	Fortitude/Physique Jewel 4
07F6	Crisis/Physique Jewel 4
07F7	Ironwall/Physique Jewel 4
07F8	Friendship/Physique Jewel 4
07F9	Satiated/Physique Jewel 4
07FA	Stonethrower/Physique Jewel 4
07FB	Resistor/Physique Jewel 4
07FC	Flight/Physique Jewel 4
07FD	Sprinter/Physique Jewel 4
07FE	Refresh/Physique Jewel 4
07FF	Jumping/Physique Jewel 4
0800	Sheath/Physique Jewel 4
0801	Gobbler/Physique Jewel 4
0802	Grinder/Physique Jewel 4
0803	Bomber/Physique Jewel 4
0804	Fungiform/Physique Jewel 4
0805	Slider/Physique Jewel 4
0806	Guardian/Physique Jewel 4
0807	Drain/Evasion Jewel 4
0808	Fortitude/Evasion Jewel 4
0809	Crisis/Evasion Jewel 4
080A	Ironwall/Evasion Jewel 4
080B	Friendship/Evasion Jewel 4
080C	Satiated/Evasion Jewel 4
080D	Stonethrower/Evasion Jewel 4
080E	Resistor/Evasion Jewel 4
080F	Flight/Evasion Jewel 4
0810	Sprinter/Evasion Jewel 4
0811	Refresh/Evasion Jewel 4
0812	Jumping/Evasion Jewel 4
0813	Sheath/Evasion Jewel 4
0814	Gobbler/Evasion Jewel 4
0815	Grinder/Evasion Jewel 4
0816	Bomber/Evasion Jewel 4
0817	Fungiform/Evasion Jewel 4
0818	Slider/Evasion Jewel 4
0819	Guardian/Evasion Jewel 4
081A	Drain/Attack Jewel 4
081B	Fortitude/Attack Jewel 4
081C	Crisis/Attack Jewel 4
081D	Ironwall/Attack Jewel 4
081E	Friendship/Attack Jewel 4
081F	Satiated/Attack Jewel 4
0820	Stonethrower/Attack Jewel 4
0821	Resistor/Attack Jewel 4
0822	Flight/Attack Jewel 4
0823	Sprinter/Attack Jewel 4
0824	Refresh/Attack Jewel 4
0825	Jumping/Attack Jewel 4
0826	Sheath/Attack Jewel 4
0827	Gobbler/Attack Jewel 4
0828	Grinder/Attack Jewel 4
0829	Bomber/Attack Jewel 4
082A	Fungiform/Attack Jewel 4
082B	Slider/Attack Jewel 4
082C	Guardian/Attack Jewel 4
